"artificial_bed_id","code","code2","bed_thickness","gravel_fraction","heterolithic_fraction","gs_category","combined_trend","lam_category","log_ID","element_ID","subset_ID","case_study_ID","system_ID","element_interpret","element_general_type","element_length","element_length_type","element_width","element_width_type","element_thickness","element_thickness_type","data_type","facies_suit_proportions_type","cs_name","cs_age_from","cs_age_to","sys_name","sys_age_from","sys_age_to","palaeo_lat_range","palaeo_latitude","palaeo_lat_hemisphere","sand_fraction","sys_gs_category","age","epoch","period","era","start_ma","end_ma","climate","vegetation","supercontinent_setting","climate_phases","age_order","period_order","era_order","period_color"
2153,"S-N-m","N-m",0.006,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2154,"S-N-m","N-m",0.005,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2155,"S-N-l","N-l",0.024,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2156,"S-N-m","N-m",0.028,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2157,"S-N-l","N-l",0.021,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2158,"S-N-l","N-l",0.019,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2159,"S-N-l","N-l",0.012,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2160,"S-N-l","N-l",0.013,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2161,"S-N-m","N-m",0.039,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2162,"S-N-m","N-m",0.004,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2163,"S-N-m","N-m",0.006,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2164,"S-N-l","N-l",0.022,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2165,"S-N-l","N-l",0.007,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2166,"S-N-m","N-m",0.126,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2167,"S-N-m","N-m",0.041,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2168,"S-N-m","N-m",0.006,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2169,"S-N-m","N-m",0.036,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2170,"S-N-m","N-m",0.007,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2171,"S-N-m","N-m",0.008,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2172,"S-N-l","N-l",0.022,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2173,"S-N-m","N-m",0.02,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2174,"S-N-m","N-m",0.004,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2175,"S-N-m","N-m",0.005,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2176,"S-N-m","N-m",0.006,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2177,"S-N-x","N-x",0.048,0,0,"S","N","x",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2178,"S-N-m","N-m",0.005,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2179,"S-N-m","N-m",0.004,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2180,"S-N-m","N-m",0.042,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2181,"S-N-m","N-m",0.01,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2182,"S-N-m","N-m",0.019,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2183,"S-N-m","N-m",0.048,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2184,"S-N-l","N-l",0.013,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2185,"S-N-m","N-m",0.019,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2186,"S-N-m","N-m",0.043,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2187,"S-N-m","N-m",0.006,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2188,"S-N-m","N-m",0.006,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2189,"S-N-m","N-m",0.006,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2190,"S-N-l","N-l",0.035,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2191,"S-N-m","N-m",0.005,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2192,"S-N-m","N-m",0.005,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2193,"S-N-m","N-m",0.048,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2194,"S-N-m","N-m",0.019,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2195,"S-N-m","N-m",0.016,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2196,"S-N-m","N-m",0.01,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2197,"S-N-m","N-m",0.048,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2198,"S-N-m","N-m",0.023,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2199,"S-N-l","N-l",0.025,0,0,"S","N","l",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2200,"S-N-m","N-m",0.08,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2201,"S-N-x","N-x",0.096,0,0,"S","N","x",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2202,"S-F-x","F-x",0.054,0,0,"S","F","x",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2203,"S-N-m","N-m",0.016,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2204,"S-N-m","N-m",0.013,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
2205,"S-N-m","N-m",0.038,0,0,"S","N","m",1019,20001,103,102,100,"levee sediments","levee",NA,NA,NA,NA,19.6299991607666,"partial observed","outcrop","type,grain size,general structures","Channel-levee complex, San Fernando canyon, Rosario Formation",24,23,"San Fernando Turbidite System",24,23,"30-45",35,"N",0.5209574,"gravelly-sand system","Maastrichtian","Upper Cretaceous","Cretaceous","Mesozoic",72.1,66,"greenhouse","Landplants","Laurasia and Gondwanaland","Mesozoic-Cenozoic",87,19,5,"#7FC64E"
